Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.21     0.00     4253     0.00     0.00  Course** std::__uninitialized_move_a<Course**, Course**, std::allocator<Course*> >(Course**, Course**, Course**, std::allocator<Course*>&)
  0.00      0.21     0.00     4252     0.00     0.00  Course** std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<Course**>, Course**>(std::move_iterator<Course**>, std::move_iterator<Course**>, Course**)
  0.00      0.21     0.00     4252     0.00     0.00  Course** std::__copy_move_a<true, Course**, Course**>(Course**, Course**, Course**)
  0.00      0.21     0.00     4252     0.00     0.00  Course** std::__copy_move_a2<true, Course**, Course**>(Course**, Course**, Course**)
  0.00      0.21     0.00     4251     0.00     0.00  __gnu_cxx::__normal_iterator<Course**, std::vector<Course*, std::allocator<Course*> > >::__normal_iterator(Course** const&)
  0.00      0.21     0.00     4251     0.00     0.00  Course** std::uninitialized_copy<std::move_iterator<Course**>, Course**>(std::move_iterator<Course**>, std::move_iterator<Course**>, Course**)
  0.00      0.21     0.00     3902     0.00     0.00  void std::_Destroy_aux<true>::__destroy<GraphNode**>(GraphNode**, GraphNode**)
  0.00      0.21     0.00     3902     0.00     0.00  std::_Vector_base<GraphNode*, std::allocator<GraphNode*> >::_M_deallocate(GraphNode**, unsigned long)
  0.00      0.21     0.00     3902     0.00     0.00  void std::_Destroy<GraphNode**>(GraphNode**, GraphNode**)
  0.00      0.21     0.00     3902     0.00     0.00  void std::_Destroy<GraphNode**, GraphNode*>(GraphNode**, GraphNode**, std::allocator<GraphNode*>&)
  0.00      0.21     0.00     3776     0.00     0.00  std::vector<Department, std::allocator<Department> >::size() const
  0.00      0.21     0.00     3716     0.00     0.00  std::vector<Department, std::allocator<Department> >::operator[](unsigned long)
  0.00      0.21     0.00     3593     0.00     0.00  std::_Vector_base<GraphNode*, std::allocator<GraphNode*> >::_M_allocate(unsigned long)
  0.00      0.21     0.00     3585     0.00     0.00  __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >::difference_type __gnu_cxx::operator-<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > const&, __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > const&)
  0.00      0.21     0.00     3584     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::_M_check_len(unsigned long, char const*) const
  0.00      0.21     0.00     3584     0.00     0.00  void std::vector<GraphNode*, std::allocator<GraphNode*> >::_M_insert_aux<GraphNode* const&>(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >, GraphNode* const&)
  0.00      0.21     0.00     3584     0.00     0.00  GraphNode* const& std::forward<GraphNode* const&>(std::remove_reference<GraphNode* const&>::type&)
  0.00      0.21     0.00     3582     0.00     0.00  __gnu_cxx::new_allocator<GraphNode*>::allocate(unsigned long, void const*)
  0.00      0.21     0.00     3259     0.00     0.00  __gnu_cxx::new_allocator<GraphNode*>::deallocate(GraphNode**, unsigned long)
  0.00      0.21     0.00     3188     0.00     0.00  std::_Vector_base<Interest*, std::allocator<Interest*> >::_M_deallocate(Interest**, unsigned long)
  0.00      0.21     0.00     3185     0.00     0.00  void std::_Destroy<Interest**, Interest*>(Interest**, Interest**, std::allocator<Interest*>&)
  0.00      0.21     0.00     3179     0.00     0.00  void std::_Destroy<Interest**>(Interest**, Interest**)
  0.00      0.21     0.00     3177     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Interest**>(Interest**, Interest**)
